# Ping Test: 公曆 20廿五年 四月 十一日 週五 十二時十九分廿八秒
# Target: 10.45.0.61
# Interface: ogstun
# Metadata: nFAPI-100M-UDP-DL
# Format: timestamp,seq,ttl,rtt_ms
2025-04-11 12:21:55.283,147,64,25.0
2025-04-11 12:21:56.283,148,64,23.8
2025-04-11 12:21:57.287,149,64,26.8
2025-04-11 12:21:58.278,150,64,15.3
2025-04-11 12:21:59.287,151,64,23.4
2025-04-11 12:22:00.292,152,64,26.8
2025-04-11 12:22:01.292,153,64,25.0
2025-04-11 12:22:02.288,154,64,18.8
2025-04-11 12:22:03.297,155,64,26.8
2025-04-11 12:22:06.354,158,64,47.6
2025-04-11 12:22:08.360,160,64,40.7
2025-04-11 12:22:09.354,161,64,33.8
2025-04-11 12:22:12.385,164,64,33.6
2025-04-11 12:22:15.415,167,64,23.5
2025-04-11 12:22:16.417,168,64,24.3
2025-04-11 12:22:17.417,169,64,22.9
2025-04-11 12:22:18.427,170,64,30.7
2025-04-11 12:22:19.427,171,64,28.9
2025-04-11 12:22:20.418,172,64,17.2
2025-04-11 12:22:21.427,173,64,25.5
2025-04-11 12:22:22.428,174,64,24.1
2025-04-11 12:22:23.427,175,64,22.6
2025-04-11 12:22:24.432,176,64,25.8
2025-04-11 12:22:25.418,177,64,9.31
2025-04-11 12:22:26.433,178,64,22.4
2025-04-11 12:22:27.438,179,64,25.7
2025-04-11 12:22:30.515,182,64,47.7
2025-04-11 12:22:33.545,185,64,41.7
2025-04-11 12:22:34.555,186,64,49.9
2025-04-11 12:22:38.588,190,64,28.3
2025-04-11 12:22:39.578,191,64,17.2
2025-04-11 12:22:40.587,192,64,25.5
2025-04-11 12:22:41.588,193,64,23.9
2025-04-11 12:22:42.588,194,64,22.8
2025-04-11 12:22:43.593,195,64,25.9
2025-04-11 12:22:44.588,196,64,18.8
2025-04-11 12:22:45.588,197,64,17.1
2025-04-11 12:22:46.598,198,64,25.4
2025-04-11 12:22:47.597,199,64,24.0
2025-04-11 12:22:48.598,200,64,23.4
2025-04-11 12:22:49.597,201,64,22.4
2025-04-11 12:22:50.602,202,64,25.8
2025-04-11 12:22:51.602,203,64,23.9
2025-04-11 12:22:52.607,204,64,26.9
2025-04-11 12:22:53.598,205,64,16.2
2025-04-11 12:22:54.607,206,64,24.5
2025-04-11 12:22:55.608,207,64,23.0
2025-04-11 12:22:56.612,208,64,26.7
2025-04-11 12:22:57.607,209,64,19.9
2025-04-11 12:22:58.599,210,64,9.23
2025-04-11 12:22:59.612,211,64,22.4
2025-04-11 12:23:00.617,212,64,25.9
2025-04-11 12:23:01.668,213,64,74.9
2025-04-11 12:23:04.680,216,64,40.9
2025-04-11 12:23:08.745,220,64,41.9
2025-04-11 12:23:10.755,222,64,35.9
2025-04-11 12:23:12.765,224,64,29.9
2025-04-11 12:23:13.762,225,64,25.3
2025-04-11 12:23:14.763,226,64,24.0
2025-04-11 12:23:15.762,227,64,22.7
2025-04-11 12:23:16.768,228,64,26.9
2025-04-11 12:23:17.768,229,64,25.9
2025-04-11 12:23:18.758,230,64,15.2
2025-04-11 12:23:19.768,231,64,24.5
2025-04-11 12:23:20.768,232,64,22.8
2025-04-11 12:23:21.772,233,64,25.9
2025-04-11 12:23:22.773,234,64,23.9
2025-04-11 12:23:23.773,235,64,22.9
2025-04-11 12:23:24.777,236,64,26.4
2025-04-11 12:23:25.778,237,64,25.1
2025-04-11 12:23:26.777,238,64,23.7
2025-04-11 12:23:27.778,239,64,22.4
2025-04-11 12:23:28.788,240,64,31.0
2025-04-11 12:23:29.787,241,64,29.8
2025-04-11 12:23:30.788,242,64,28.5
2025-04-11 12:23:31.788,243,64,26.8
2025-04-11 12:23:32.787,244,64,24.8
2025-04-11 12:23:33.788,245,64,22.9
2025-04-11 12:23:34.793,246,64,25.9
2025-04-11 12:23:35.793,247,64,25.4
2025-04-11 12:23:36.778,248,64,9.27
2025-04-11 12:23:37.793,249,64,22.5
